Model,RTH1004
SerialNumber,104946
Firmware Version,'1.80.3.4'

Acquisition Time Stamp,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736,2022-01-26 14:15:27.233034736
Waveform Type,DIGITAL,,,,,,,
,,,,,,,,
Horizontal Unit,s,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Horizontal Position,0,,,,,,,
Reference Point,50 %,,,,,,,
Sample Interval,1.6e-08,,,,,,,
Record Length,125000,,,,,,,
,,,,,,,,
Vertical Unit,,,,,,,,
Threshold,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
,,,,,,,,
,,,,,,,,
History Index,0,0,0,0,0,0,0,0
History Time Stamp,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000,0.000000000000
,,,,,,,,
TIME,D7,D6,D5,D4,D3,D2,D1,D0
-0.00099682,0,0,0,0,0,1,0,1
-0.0009968,0,0,0,0,0,1,0,1
-0.00099678,0,0,0,0,0,1,0,1
-0.00099677,0,0,0,0,0,1,0,1
-0.00099675,0,0,0,0,0,1,0,1
-0.00099674,0,0,0,0,0,1,0,1
-0.00099672,0,0,0,0,0,1,0,1
-0.0009967,0,0,0,0,0,1,0,1
-0.00099669,0,0,0,0,0,1,0,1
-0.00099667,0,0,0,0,0,1,0,1
-0.00099666,0,0,0,0,0,1,0,1
-0.00099664,0,0,0,0,0,1,0,1
-0.00099662,0,0,0,0,0,1,0,1
-0.00099661,0,0,0,0,0,1,0,1
-0.00099659,0,0,0,0,0,1,0,1
-0.00099658,0,0,0,0,0,1,0,1
-0.00099656,0,0,0,0,0,1,0,1
-0.00099654,0,0,0,0,0,1,0,1
-0.00099653,0,0,0,0,0,1,0,1
-0.00099651,0,0,0,0,0,1,0,1
-0.0009965,0,0,0,0,0,1,0,1
-0.00099648,0,0,0,0,0,1,0,1
-0.00099646,0,0,0,0,0,1,0,1
-0.00099645,0,0,0,0,0,1,0,1
-0.00099643,0,0,0,0,0,1,0,1
-0.00099642,0,0,0,0,0,1,0,1
-0.0009964,0,0,0,0,0,1,0,1
-0.00099638,0,0,0,0,0,1,0,1
-0.00099637,0,0,0,0,0,1,0,1
